25-11-04 18:57:14 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/users
25-11-04 18:57:15 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/users
25-11-04 18:57:15 |   INFO   |        HTTP_CLIENT        | Make PUT request to https://api.escuelajs.co/api/v1/users/75
25-11-04 18:57:15 |   INFO   |        HTTP_CLIENT        | Got response 400 Bad Request from https://api.escuelajs.co/api/v1/users/75
25-11-04 18:57:15 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 400
25-11-04 18:57:15 |   INFO   |     USERS_ASSERTIONS      | Check user update response with invalid data
25-11-04 18:57:15 |   INFO   |     ERRORS_ASSERTIONS     | Check error response
25-11-04 18:57:15 |   INFO   |      BASE_ASSERTIONS      | Check that "status_code" equals to 400
25-11-04 18:57:15 |   INFO   |      BASE_ASSERTIONS      | Check that "error" equals to Bad Request
25-11-04 18:57:15 |   INFO   |      BASE_ASSERTIONS      | Check that "message" equals to ['role must be one of the following values: admin, customer']
25-11-04 18:57:15 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
