25-11-04 18:03:20 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-04 18:03:21 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-04 18:03:21 |   INFO   |        HTTP_CLIENT        | Make GET request to https://api.escuelajs.co/api/v1/categories/slug/somebody-never
25-11-04 18:03:21 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/categories/slug/somebody-never
25-11-04 18:03:21 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-04 18:03:21 |   INFO   |   CATEGORYS_ASSERTIONS    | Check get category response
25-11-04 18:03:21 |   INFO   |   CATEGORYS_ASSERTIONS    | Check category
25-11-04 18:03:21 |   INFO   |      BASE_ASSERTIONS      | Check that "id" equals to 34
25-11-04 18:03:21 |   INFO   |      BASE_ASSERTIONS      | Check that "name" equals to Somebody never
25-11-04 18:03:21 |   INFO   |      BASE_ASSERTIONS      | Check that "slug" equals to somebody-never
25-11-04 18:03:21 |   INFO   |      BASE_ASSERTIONS      | Check that "image" equals to http://www.garza.org/categoryterms.jsp
25-11-04 18:03:21 |   INFO   |      BASE_ASSERTIONS      | Check that "creation_at" equals to 2025-11-04 18:03:21+00:00
25-11-04 18:03:21 |   INFO   |      BASE_ASSERTIONS      | Check that "updated_at" equals to 2025-11-04 18:03:21+00:00
25-11-04 18:03:21 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
