25-11-04 18:03:25 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/categories
25-11-04 18:03:25 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/categories
25-11-04 18:03:25 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/products
25-11-04 18:03:25 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/products
25-11-04 18:03:25 |   INFO   |        HTTP_CLIENT        | Make GET request to https://api.escuelajs.co/api/v1/products/slug/air-decade-design
25-11-04 18:03:25 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/products/slug/air-decade-design
25-11-04 18:03:25 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-04 18:03:25 |   INFO   |    PRODUCTS_ASSERTIONS    | Check get product response
25-11-04 18:03:25 |   INFO   |    PRODUCTS_ASSERTIONS    | Check product
25-11-04 18:03:25 |   INFO   |      BASE_ASSERTIONS      | Check that "id" equals to 66
25-11-04 18:03:25 |   INFO   |      BASE_ASSERTIONS      | Check that "title" equals to Air decade design
25-11-04 18:03:25 |   INFO   |      BASE_ASSERTIONS      | Check that "slug" equals to air-decade-design
25-11-04 18:03:25 |   INFO   |      BASE_ASSERTIONS      | Check that "price" equals to 4607.14
